Model,Accuracy,Precision macro,Recall macro,F1 macro,F1 weighted
Baseline RF,0.5291093819296053,0.5002724289418915,0.540678311996317,0.4816416303684191,0.5295577947028675
RF + PSO,0.6040398338910615,0.5580708970367471,0.5754601807032159,0.5562096630280164,0.6082882872742268
RF + DSO,0.6055114300689433,0.5620495875436113,0.5701949922257243,0.554450989517328,0.6075235167059128
SVM,0.5587428940047575,0.5404964722197898,0.5756074969800294,0.5412571319166588,0.5767841950586594
MLP,0.6427851469580292,0.5887615848738396,0.551960681409238,0.5491955295136359,0.6229863922780549
MLP + PSO,0.6440148369148894,0.5904433378143596,0.5522659835886334,0.5506978021359975,0.6221210370604208
MLP + DSO,0.6273837842196508,0.5840158458579279,0.5397119098426447,0.5305770154216437,0.6025950264999269
Logistic Regression,0.49036406886263756,0.506139970937911,0.5367785763101708,0.4861931840485692,0.508122851335467
